time,v1,v2,i12
0.01085,6.43038278971865,-3.21519139485933,-6.43038278971865
0.0109,6.40195790451295,-3.20097895225648,-6.40195790451295
0.01095,6.37195343198887,-3.18597671599443,-6.37195343198887
0.011,6.34037677530102,-3.17018838765051,-6.34037677530102
0.01105,6.30723572551697,-3.15361786275848,-6.30723572551697
0.0111,6.27253845969484,-3.13626922984742,-6.27253845969484
0.01115,6.23629353886578,-3.11814676943289,-6.23629353886578
0.0112,6.19850990592168,-3.09925495296084,-6.19850990592168
0.01125,6.15919688340858,-3.07959844170429,-6.15919688340858
0.0113,6.11836417122654,-3.05918208561327,-6.11836417122654
0.01135,6.0760218442363,-3.03801092211815,-6.0760218442363
0.0114,6.03218034977346,-3.01609017488673,-6.03218034977346
0.01145,5.98685050507077,-2.99342525253539,-5.98685050507077
0.0115,5.94004349458912,-2.97002174729456,-5.94004349458912
0.01155,5.89177086725796,-2.94588543362898,-5.89177086725796
0.0116,5.84204453362576,-2.92102226681288,-5.84204453362576
0.01165,5.79087676292128,-2.89543838146064,-5.79087676292128
0.0117,5.73828018002629,-2.86914009001314,-5.73828018002629
0.01175,5.68426776236062,-2.84213388118031,-5.68426776236062
0.0118,5.6288528366801,-2.81442641834005,-5.6288528366801
0.01185,5.57204907578846,-2.78602453789423,-5.57204907578846
0.0119,5.51387049516375,-2.75693524758187,-5.51387049516375
0.01195,5.45433144950015,-2.72716572475008,-5.45433144950015
0.012,5.39344662916632,-2.69672331458316,-5.39344662916632
0.01205,5.3312310565806,-2.6656155282903,-5.3312310565806
0.0121,5.2677000825046,-2.6338500412523,-5.2677000825046
0.01215,5.20286938225553,-2.60143469112776,-5.20286938225553
0.0122,5.13675495183859,-2.5683774759193,-5.13675495183859
0.01225,5.06937310400021,-2.5346865520001,-5.06937310400021
0.0123,5.00074046420306,-2.50037023210153,-5.00074046420306
0.01235,4.93087396652406,-2.46543698326203,-4.93087396652406
0.0124,4.85979084947607,-2.42989542473804,-4.85979084947607
0.01245,4.78750865175459,-2.3937543258773,-4.78750865175459
0.0125,4.71404520791031,-2.35702260395516,-4.71404520791031
0.01255,4.63941864394876,-2.31970932197438,-4.63941864394876
0.0126,4.56364737285792,-2.28182368642896,-4.56364737285792
0.01265,4.48675009006516,-2.24337504503258,-4.48675009006516
0.0127,4.40874576882434,-2.20437288441217,-4.40874576882434
0.01275,4.32965365553456,-2.16482682776728,-4.32965365553456
0.0128,4.24949326499126,-2.12474663249563,-4.24949326499126
0.01285,4.16828437557137,-2.08414218778568,-4.16828437557137
0.0129,4.08604702435318,-2.04302351217659,-4.08604702435318
0.01295,4.00280150217256,-2.00140075108628,-4.00280150217256
0.013,3.91856834861648,-1.95928417430824,-3.91856834861648
0.01305,3.83336834695519,-1.91668417347759,-3.83336834695519
0.0131,3.7472225190142,-1.8736112595071,-3.7472225190142
0.01315,3.66015211998754,-1.83007605999377,-3.66015211998754
0.0132,3.57217863319331,-1.78608931659665,-3.57217863319331
0.01325,3.48332376477299,-1.7416618823865,-3.48332376477299
0.0133,3.39360943833581,-1.6968047191679,-3.39360943833581
0.01335,3.30305778954938,-1.65152889477469,-3.30305778954938
0.0134,3.2116911606781,-1.60584558033905,-3.2116911606781
0.01345,3.11953209507049,-1.55976604753525,-3.11953209507049
0.0135,3.02660333159698,-1.51330166579849,-3.02660333159698
0.01355,2.93292779903943,-1.46646389951972,-2.93292779903943
0.0136,2.83852861043381,-1.41926430521691,-2.83852861043381
0.01365,2.74342905736739,-1.37171452868369,-2.74342905736739
0.0137,2.64765260423187,-1.32382630211593,-2.64765260423187
0.01375,2.55122288243393,-1.27561144121697,-2.55122288243393
0.0138,2.45416368456452,-1.22708184228226,-2.45416368456452
0.01385,2.35649895852838,-1.17824947926419,-2.35649895852838
0.0139,2.25825280163528,-1.12912640081764,-2.25825280163528
0.01395,2.15944945465433,-1.07972472732717,-2.15944945465433
0.014,2.06011329583298,-1.03005664791649,-2.06011329583298
0.01405,1.96026883488203,-0.980134417441014,-1.96026883488203
0.0141,1.85994070692819,-0.929970353464096,-1.85994070692819
0.01415,1.75915366643582,-0.879576833217908,-1.75915366643582
0.0142,1.65793258109903,-0.828966290549515,-1.65793258109903
0.01425,1.55630242570603,-0.778151212853017,-1.55630242570603
0.0143,1.45428827597695,-0.727144137988475,-1.45428827597695
0.01435,1.35191530237675,-0.675957651188375,-1.35191530237675
0.0144,1.24920876390483,-0.624604381952413,-1.24920876390483
0.01445,1.14619400186273,-0.573097000931366,-1.14619400186273
0.0145,1.04289643360154,-0.52144821680077,-1.04289643360154
0.01455,0.939341546250553,-0.469670773125277,-0.939341546250553
0.0146,0.835554890428698,-0.417777445214349,-0.835554890428698
0.01465,0.731562073940299,-0.36578103697015,-0.731562073940299
0.0147,0.62738875545676,-0.31369437772838,-0.62738875545676
0.01475,0.523060638185632,-0.261530319092816,-0.523060638185632
0.0148,0.418603463528755,-0.209301731764378,-0.418603463528755
0.01485,0.314043004730951,-0.157021502365475,-0.314043004730951
0.0149,0.209405060520856,-0.104702530260428,-0.209405060520856
0.01495,0.104715448745466,-0.0523577243727331,-0.104715448745466
0.015,-4.28832706580436e-15,2.14416353290218e-15,4.28832706580436e-15
0.01505,-0.104715448745475,0.0523577243727374,0.104715448745475
0.0151,-0.209405060520858,0.104702530260429,0.209405060520858
0.01515,-0.314043004730954,0.157021502365477,0.314043004730954
0.0152,-0.418603463528758,0.209301731764379,0.418603463528758
0.01525,-0.523060638185634,0.261530319092817,0.523060638185634
0.0153,-0.627388755456763,0.313694377728381,0.627388755456763
0.01535,-0.731562073940302,0.365781036970151,0.731562073940302
0.0154,-0.835554890428694,0.417777445214347,0.835554890428694
0.01545,-0.93934154625055,0.469670773125275,0.93934154625055
0.0155,-1.04289643360154,0.521448216800769,1.04289643360154
0.01555,-1.14619400186273,0.573097000931367,1.14619400186273
0.0156,-1.24920876390483,0.624604381952417,1.24920876390483
0.01565,-1.35191530237675,0.675957651188376,1.35191530237675
0.0157,-1.45428827597695,0.727144137988476,1.45428827597695
0.01575,-1.55630242570604,0.778151212853019,1.55630242570604
0.0158,-1.65793258109903,0.828966290549516,1.65793258109903
0.01585,-1.75915366643582,0.87957683321791,1.75915366643582
0.0159,-1.85994070692819,0.929970353464097,1.85994070692819
0.01595,-1.96026883488203,0.980134417441016,1.96026883488203
0.016,-2.06011329583298,1.03005664791649,2.06011329583298
0.01605,-2.15944945465433,1.07972472732717,2.15944945465433
0.0161,-2.25825280163527,1.12912640081764,2.25825280163527
0.01615,-2.35649895852838,1.17824947926419,2.35649895852838
0.0162,-2.45416368456452,1.22708184228226,2.45416368456452
0.01625,-2.55122288243393,1.27561144121697,2.55122288243393
0.0163,-2.64765260423188,1.32382630211594,2.64765260423188
0.01635,-2.74342905736739,1.3717145286837,2.74342905736739
0.0164,-2.83852861043382,1.41926430521691,2.83852861043382
0.01645,-2.93292779903943,1.46646389951972,2.93292779903943
0.0165,-3.02660333159698,1.51330166579849,3.02660333159698
0.01655,-3.11953209507049,1.55976604753525,3.11953209507049
0.0166,-3.2116911606781,1.60584558033905,3.2116911606781
0.01665,-3.30305778954939,1.65152889477469,3.30305778954939
0.0167,-3.39360943833581,1.69680471916791,3.39360943833581
0.01675,-3.48332376477299,1.7416618823865,3.48332376477299
0.0168,-3.57217863319332,1.78608931659666,3.57217863319332
0.01685,-3.66015211998755,1.83007605999377,3.66015211998755
0.0169,-3.74722251901421,1.8736112595071,3.74722251901421
0.01695,-3.83336834695519,1.9166841734776,3.83336834695519
0.017,-3.91856834861649,1.95928417430825,3.91856834861649
0.01705,-4.00280150217256,2.00140075108628,4.00280150217256
0.0171,-4.08604702435318,2.04302351217659,4.08604702435318
0.01715,-4.16828437557137,2.08414218778568,4.16828437557137
0.0172,-4.24949326499127,2.12474663249563,4.24949326499127
0.01725,-4.32965365553456,2.16482682776728,4.32965365553456
0.0173,-4.40874576882435,2.20437288441217,4.40874576882435
0.01735,-4.48675009006516,2.24337504503258,4.48675009006516
0.0174,-4.56364737285793,2.28182368642896,4.56364737285793
0.01745,-4.63941864394876,2.31970932197438,4.63941864394876
0.0175,-4.71404520791032,2.35702260395516,4.71404520791032
