time,e1,e2,e3,e4,i1,i2
0.083,5.87785252292474,3.67365782682796,5.14312095755915,11.7557050458495,-2.20419469609678,-6.61258408829033
0.084,3.09016994374947,1.93135621484342,2.70389870078078,6.18033988749894,-1.15881372890605,-3.47644118671815
0.085,-2.45053155956788e-14,-1.53158222472993e-14,-2.1442151146219e-14,-4.90106311913577e-14,9.18949334837956e-15,2.75684800451387e-14
0.086,-3.09016994374951,-1.93135621484345,-2.70389870078083,-6.18033988749903,1.15881372890607,3.4764411867182
0.087,-5.87785252292478,-3.67365782682799,-5.14312095755918,-11.7557050458496,2.20419469609679,6.61258408829038
0.088,-8.09016994374948,-5.05635621484342,-7.07889870078079,-16.180339887499,3.03381372890605,9.10144118671816
0.089,-9.51056516295152,-5.9441032268447,-8.32174451758258,-19.021130325903,3.56646193610682,10.6993858083205
0.09,-10,-6.25,-8.75,-20,3.75,11.25
0.091,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.092,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.093,-5.87785252292471,-3.67365782682795,-5.14312095755912,-11.7557050458494,2.20419469609677,6.6125840882903
0.094,-3.0901699437495,-1.93135621484344,-2.70389870078082,-6.18033988749901,1.15881372890606,3.47644118671819
0.095,-1.22464679914735e-14,-7.65404249467096e-15,-1.07156594925393e-14,-2.44929359829471e-14,4.59242549680257e-15,1.37772764904077e-14
0.096,3.09016994374948,1.93135621484342,2.70389870078079,6.18033988749896,-1.15881372890605,-3.47644118671816
0.097,5.87785252292475,3.67365782682797,5.14312095755916,11.7557050458495,-2.20419469609678,-6.61258408829034
0.098,8.0901699437495,5.05635621484344,7.07889870078081,16.180339887499,-3.03381372890606,-9.10144118671819
0.099,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610683,-10.6993858083205
0.1,10,6.25,8.75,20,-3.75,-11.25
0.101,9.51056516295153,5.94410322684471,8.32174451758259,19.0211303259031,-3.56646193610682,-10.6993858083205
0.102,8.09016994374945,5.05635621484341,7.07889870078077,16.1803398874989,-3.03381372890604,-9.10144118671813
0.103,5.87785252292468,3.67365782682793,5.1431209575591,11.7557050458494,-2.20419469609676,-6.61258408829027
0.104,3.0901699437494,1.93135621484338,2.70389870078073,6.18033988749881,-1.15881372890603,-3.47644118671808
0.105,-2.20560219973841e-14,-1.37850137483651e-14,-1.92990192477111e-14,-4.41120439947682e-14,8.27100824901905e-15,2.48130247470571e-14
0.106,-3.09016994374951,-1.93135621484345,-2.70389870078082,-6.18033988749902,1.15881372890607,3.4764411867182
0.107,-5.87785252292472,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.61258408829031
0.108,-8.09016994374948,-5.05635621484342,-7.07889870078079,-16.180339887499,3.03381372890605,9.10144118671816
0.109,-9.51056516295154,-5.94410322684471,-8.3217445175826,-19.0211303259031,3.56646193610683,10.6993858083205
0.11,-10,-6.25,-8.75,-20,3.75,11.25
0.111,-9.51056516295152,-5.9441032268447,-8.32174451758258,-19.021130325903,3.56646193610682,10.6993858083205
0.112,-8.09016994374947,-5.05635621484342,-7.07889870078079,-16.1803398874989,3.03381372890605,9.10144118671816
0.113,-5.87785252292471,-3.67365782682795,-5.14312095755913,-11.7557050458494,2.20419469609677,6.6125840882903
0.114,-3.09016994374944,-1.9313562148434,-2.70389870078076,-6.18033988749887,1.15881372890604,3.47644118671812
0.115,5.63585119862418e-14,3.52240699914011e-14,4.93136979879616e-14,1.12717023972484e-13,-2.11344419948407e-14,-6.3403325984522e-14
0.116,3.09016994374948,1.93135621484342,2.70389870078079,6.18033988749895,-1.15881372890605,-3.47644118671816
