time,e1,e2,i21
0.059,6.34037677530102,-3.17018838765051,-6.34037677530102
0.06,6.66666666666667,-3.33333333333333,-6.66666666666667
0.061,6.34037677530102,-3.17018838765051,-6.34037677530102
0.062,5.39344662916633,-2.69672331458316,-5.39344662916633
0.063,3.91856834861649,-1.95928417430825,-3.91856834861649
0.064,2.06011329583298,-1.03005664791649,-2.06011329583298
0.065,-1.7969739462649e-14,8.98486973132451e-15,1.7969739462649e-14
0.066,-2.06011329583301,1.03005664791651,2.06011329583301
0.067,-3.91856834861648,1.95928417430824,3.91856834861648
0.068,-5.39344662916632,2.69672331458316,5.39344662916632
0.069,-6.34037677530103,3.17018838765051,6.34037677530103
0.07,-6.66666666666667,3.33333333333333,6.66666666666667
0.071,-6.34037677530103,3.17018838765051,6.34037677530103
0.072,-5.39344662916631,2.69672331458316,5.39344662916631
0.073,-3.91856834861651,1.95928417430826,3.91856834861651
0.074,-2.060113295833,1.0300566479165,2.060113295833
0.075,-6.53144959545255e-15,3.26572479772628e-15,6.53144959545255e-15
0.076,2.06011329583299,-1.03005664791649,-2.06011329583299
0.077,3.9185683486165,-1.95928417430825,-3.9185683486165
0.078,5.39344662916631,-2.69672331458315,-5.39344662916631
0.079,6.34037677530102,-3.17018838765051,-6.34037677530102
0.08,6.66666666666667,-3.33333333333333,-6.66666666666667
0.081,6.34037677530102,-3.17018838765051,-6.34037677530102
0.082,5.3934466291663,-2.69672331458315,-5.3934466291663
0.083,3.91856834861649,-1.95928417430825,-3.91856834861649
0.084,2.06011329583298,-1.03005664791649,-2.06011329583298
0.085,-1.63368770637859e-14,8.16843853189294e-15,1.63368770637859e-14
0.086,-2.06011329583301,1.0300566479165,2.06011329583301
0.087,-3.91856834861652,1.95928417430826,3.91856834861652
0.088,-5.39344662916632,2.69672331458316,5.39344662916632
0.089,-6.34037677530101,3.17018838765051,6.34037677530101
0.09,-6.66666666666667,3.33333333333333,6.66666666666667
0.091,-6.34037677530103,3.17018838765051,6.34037677530103
0.092,-5.39344662916631,2.69672331458316,5.39344662916631
0.093,-3.91856834861647,1.95928417430824,3.91856834861647
0.094,-2.060113295833,1.0300566479165,2.060113295833
0.095,-8.16431199431569e-15,4.08215599715784e-15,8.16431199431569e-15
0.096,2.06011329583299,-1.03005664791649,-2.06011329583299
0.097,3.9185683486165,-1.95928417430825,-3.9185683486165
0.098,5.39344662916633,-2.69672331458317,-5.39344662916633
0.099,6.34037677530102,-3.17018838765051,-6.34037677530102
0.1,6.66666666666667,-3.33333333333333,-6.66666666666667
0.101,6.34037677530102,-3.17018838765051,-6.34037677530102
0.102,5.3934466291663,-2.69672331458315,-5.3934466291663
0.103,3.91856834861646,-1.95928417430823,-3.91856834861646
0.104,2.06011329583293,-1.03005664791647,-2.06011329583293
0.105,-1.47040146649228e-14,7.35200733246138e-15,1.47040146649228e-14
0.106,-2.06011329583301,1.0300566479165,2.06011329583301
0.107,-3.91856834861648,1.95928417430824,3.91856834861648
0.108,-5.39344662916632,2.69672331458316,5.39344662916632
0.109,-6.34037677530103,3.17018838765051,6.34037677530103
0.11,-6.66666666666667,3.33333333333333,6.66666666666667
0.111,-6.34037677530101,3.17018838765051,6.34037677530101
0.112,-5.39344662916632,2.69672331458316,5.39344662916632
0.113,-3.91856834861648,1.95928417430824,3.91856834861648
0.114,-2.06011329583296,1.03005664791648,2.06011329583296
0.115,3.75723413241612e-14,-1.87861706620806e-14,-3.75723413241612e-14
0.116,2.06011329583298,-1.03005664791649,-2.06011329583298
0.117,3.9185683486165,-1.95928417430825,-3.9185683486165
0.118,5.39344662916633,-2.69672331458317,-5.39344662916633
0.119,6.34037677530103,-3.17018838765052,-6.34037677530103
0.12,6.66666666666667,-3.33333333333333,-6.66666666666667
0.121,6.34037677530102,-3.17018838765051,-6.34037677530102
0.122,5.3934466291663,-2.69672331458315,-5.3934466291663
0.123,3.9185683486165,-1.95928417430825,-3.9185683486165
0.124,2.06011329583298,-1.03005664791649,-2.06011329583298
0.125,-1.30711522660596e-14,6.53557613302981e-15,1.30711522660596e-14
0.126,-2.06011329583301,1.0300566479165,2.06011329583301
0.127,-3.91856834861652,1.95928417430826,3.91856834861652
0.128,-5.39344662916632,2.69672331458316,5.39344662916632
0.129,-6.34037677530103,3.17018838765051,6.34037677530103
0.13,-6.66666666666667,3.33333333333333,6.66666666666667
0.131,-6.34037677530101,3.17018838765051,6.34037677530101
0.132,-5.39344662916629,2.69672331458314,5.39344662916629
