time,e1,e2,e3,e4,i1
0.144,106.610863059355,106.449563114703,-2.86814009396323,105.177211897253,-0.0322599889303206
0.145,-5.91931500627418e-13,101.16106402425,-2.62048150482508,96.3275365479779,20.23221280485
0.146,-106.610863059356,85.9756856395125,-2.11459196712411,78.0604707521091,38.5173097397736
0.147,-202.785912040903,62.379817056173,-1.40047882226609,52.1637117888918,53.0331458194151
0.148,-279.110863059357,32.6831045889625,-0.548502889472446,21.1717825297606,62.3587935296639
0.149,-328.114498121828,-0.207630650938221,0.357508917754001,-11.8820617806067,65.581373494178
0.15,-345,-33.0729308635642,1.22846900347828,-43.7627463197431,62.3854138272872
0.151,-328.114498121828,-62.6958427841471,1.97874933645547,-71.3500451680215,53.0837310675362
0.152,-279.110863059357,-86.1768138079043,2.53456294362253,-91.9440077581233,38.5868098502905
0.153,-202.785912040903,-101.217518791653,2.84118622039641,-103.529246024511,20.3136786498499
0.154,-106.610863059356,-106.345834589627,2.86831509689263,-104.972211984611,0.0530056939456998
0.155,1.77536740524301e-12,-101.059940250245,2.61303077009087,-96.1321548461275,-20.2119880500493
0.156,106.610863059357,-85.8774373439561,2.10008470402347,-77.8748963836431,-38.4976600806626
0.157,202.785912040904,-62.2846821832261,1.3794750084781,-51.9880761519777,-53.014118844826
0.158,279.110863059358,-32.5912896505944,0.521551445127794,-21.0061629220955,-62.3404305419904
0.159,328.114498121829,0.295949185878001,-0.389871775166044,12.0376385643164,-65.5637097871901
0.16,345,33.1576051508356,-1.26572122919401,43.9083004303658,-62.3684789698329
0.161,328.114498121828,62.7767521643077,-2.02038435968367,71.485640197105,-53.067549191504
0.162,279.110863059356,86.2538633528533,-2.580090806418,92.069747296875,-38.5713999413006
0.163,202.785912040902,101.290637844716,-2.8901345608673,103.645270296934,-20.2990548392372
0.164,106.610863059355,106.414975305885,-2.92022998364583,105.07869456403,-0.0391775506939851
0.165,-5.0743087148625e-13,101.125076143349,-2.66747739497274,96.2292994633266,20.2250152286698
0.166,-106.610863059358,85.9385618451974,-2.15664794032449,77.9629338338636,38.5098849809111
0.167,-202.785912040905,62.3418072181713,-1.43775984184301,52.067261307085,53.0255438518152
0.168,-279.110863059358,32.6444442381572,-0.58118328444807,21.0767718533214,62.3510614595031
0.169,-328.114498121829,-0.246720307506453,0.329246899598476,-11.9753113485086,65.5735555628645
0.17,-345,-33.1122428673982,1.20443657302301,-43.8539446275626,62.3775514265204
0.171,-328.114498121827,-62.7351842942486,1.95875247012581,-71.4389322324236,53.0758627655158
0.172,-279.110863059355,-86.2160059184592,2.51840361909724,-92.0303527204265,38.5789714281793
0.173,-202.785912040901,-101.256396302833,2.82866358085577,-103.612846055748,20.3059031476137
0.174,-106.610863059354,-106.384245735786,2.8592265438525,-105.052891147574,0.0453234647135758
0.175,1.69086677610184e-12,-101.097746389685,2.60717298517604,-96.2097629223514,-20.2195492779373
0.176,106.610863059357,-85.9145126143011,2.09725460031698,-77.9493076728904,-38.5050751347316
0.177,202.785912040904,-62.3209131263062,1.37947061234432,-52.0591882513573,-53.021365033442
0.178,279.110863059356,-32.6265748106179,0.524172709645238,-21.0738954915419,-62.3474875739948
0.179,328.114498121828,0.261699687254641,-0.384822223809699,11.973345043896,-65.5705596869146
0.18,345,33.1244700590744,-1.25843741079683,43.8474859003801,-62.3751059881851
0.181,328.114498121828,62.7447995528858,-2.01105632289203,71.4283262605211,-53.0739397137884
0.182,279.110863059356,86.2231510973482,-2.56890407347965,92.0159384483345,-38.5775423924016
0.183,202.785912040904,101.261214107098,-2.87726963226243,103.594955139062,-20.3049395867612
0.184,106.610863059357,106.386879026204,-2.90586190046624,105.031847005654,-0.0447968066305648
