time,e1,e2,e3,i0
0.045,6.12324860954638e-15,0.158019721614426,-0.000790098608066005,-0.00790098608072128
0.046,-3.09016994374945,-2.92595275276968,-3.0755401799856,0.146297637638484
0.047,-5.87785252292473,-5.71948889178065,-5.84925507846582,0.285974444589032
0.048,-8.09016994374948,-7.95645703132373,-8.05038765859286,0.397822851566187
0.049,-9.51056516295154,-9.41189275416565,-9.46350569918071,0.470594637708283
0.05,-10,-9.94823730355803,-9.95025881348221,0.497411865177902
0.051,-9.51056516295154,-9.50896869070726,-9.463020319498,0.475448434535363
0.052,-8.09016994374947,-8.14037868019089,-8.04946805034851,0.407018934009545
0.053,-5.87785252292471,-5.97373734036327,-5.84798383622289,0.298686867018164
0.054,-3.0901699437495,-3.22333952366104,-3.07405324613119,0.161166976183052
0.055,-7.34785496336876e-15,-0.156604230621057,0.000783021153097937,0.00783021153105285
0.056,3.09016994374948,2.92479345924121,3.07554597645328,-0.14623967296206
0.057,5.87785252292475,5.7204383584262,5.84925033113262,-0.28602191792131
0.058,8.09016994374946,7.9556794138448,8.05039154668023,-0.39778397069224
0.059,9.51056516295153,9.4125296263995,9.46350251481953,-0.470626481319975
0.06,10,9.94771570231673,9.95026142148842,-0.497385785115837
0.061,9.51056516295153,9.50939588448406,9.46301818352911,-0.475469794224203
0.062,8.09016994374949,8.1400288065547,8.04946979971672,-0.407001440327735
0.063,5.87785252292474,5.9740238884545,5.84798240348247,-0.298701194422725
0.064,3.09016994374947,3.22310483947772,3.07405441955208,-0.161155241973886
0.065,-2.69545670505966e-14,0.156796438029053,-0.00078398219017222,-0.00783982190145266
0.066,-3.09016994374952,-2.92495087797813,-3.07554518935963,0.146247543898907
0.067,-5.87785252292472,-5.72030943176835,-5.84925097576588,0.286015471588418
0.068,-8.09016994374948,-7.95578500536094,-8.05039101872267,0.397789250268047
0.069,-9.51056516295154,-9.41244314647002,-9.46350294721919,0.470622157323501
0.07,-10,-9.9477865297703,-9.95026106735115,0.497389326488515
0.071,-9.51056516295154,-9.50933787647911,-9.46301847356914,0.475466893823956
0.072,-8.09016994374947,-8.14007631537322,-8.0494695621726,0.407003815768661
0.073,-5.87785252292477,-5.97398497851717,-5.84798259803218,0.298699248925858
0.074,-3.0901699437495,-3.22313670689252,-3.07405426021504,0.161156835344626
0.075,-9.79706767101352e-15,-0.156770338472201,0.00078385169235121,0.00783851692361007
0.076,3.09016994374948,2.92492950232291,3.07554529623787,-0.146246475116145
0.077,5.87785252292475,5.7203269385267,5.84925088823212,-0.286016346926335
0.078,8.09016994374946,7.95577066724665,8.05039109041322,-0.397788533362332
0.079,9.51056516295153,9.41245488945047,9.46350288850428,-0.470622744472524
0.08,10,9.94777691221616,9.95026111543892,-0.497388845610808
0.081,9.51056516295153,9.50934575329946,9.46301843418503,-0.475467287664973
0.082,8.09016994374945,8.14006986422169,8.04946959442834,-0.407003493211084
0.083,5.87785252292474,5.97399026203942,5.84798257161454,-0.298699513101971
0.084,3.09016994374947,3.22313237966383,3.07405428185115,-0.161156618983191
0.085,-2.45053543429519e-14,0.156773882492017,-0.000783869412484591,-0.00783869412460086
0.086,-3.09016994374951,-2.92493240489123,-3.07554528172506,0.146246620244562
0.087,-5.87785252292478,-5.72032456131016,-5.84925090011823,0.286016228065508
0.088,-8.09016994374948,-7.95577261419779,-8.05039108067849,0.39778863070989
0.089,-9.51056516295152,-9.41245329488868,-9.46350289647708,0.470622664744434
0.09,-10,-9.94777821816947,-9.95026110890915,0.497388910908473
0.091,-9.51056516295154,-9.5093446837178,-9.46301843953295,0.47546723418589
0.092,-8.09016994374947,-8.14007074021394,-8.0494695900484,0.407003537010697
0.093,-5.87785252292471,-5.9739895445978,-5.84798257520172,0.29869947722989
0.094,-3.0901699437495,-3.22313296725177,-3.07405427891324,0.161156648362588
0.095,-1.224660563931e-14,-0.1567734012549,0.000783867006262251,0.00783867006274498
0.096,3.09016994374948,2.92493201075579,3.0755452836957,-0.14624660053779
0.097,5.87785252292475,5.72032488410881,5.84925089850421,-0.286016244205441
0.098,8.0901699437495,7.95577234982423,8.05039108200038,-0.397788617491211
0.099,9.51056516295153,9.41245351141186,9.46350289539447,-0.470622675570593
0.1,10,9.94777804083602,9.95026110979582,-0.497388902041801
0.101,9.51056516295153,9.50934482895469,9.46301843880676,-0.475467241447735
0.102,8.09016994374945,8.14007062126424,8.04946959064313,-0.407003531063212
0.103,5.87785252292468,5.9739896420181,5.84798257471459,-0.298699482100905
0.104,3.0901699437494,3.22313288746399,3.07405427931208,-0.1611566443732
0.105,-2.20560332150899e-14,0.15677346660133,-0.000783867333028705,-0.00783867333006649
0.106,-3.09016994374951,-2.92493206427488,-3.07554528342814,0.146246603213744
0.107,-5.87785252292472,-5.72032484027644,-5.84925089872334,0.286016242013822
0.108,-8.09016994374948,-7.95577238572309,-8.05039108182086,0.397788619286155
0.109,-9.51056516295154,-9.41245348201052,-9.46350289554149,0.470622674100526
0.11,-10,-9.94777806491586,-9.95026110967542,0.497388903245793
0.111,-9.51056516295152,-9.50934480923318,-9.46301843890535,0.475467240461659
0.112,-8.09016994374947,-8.14007063741625,-8.04946959056239,0.407003531870813
0.113,-5.87785252292471,-5.97398962878957,-5.84798257478077,0.298699481439479
0.114,-3.09016994374944,-3.22313289829827,-3.07405427925795,0.161156644914914
0.115,5.63585636492725e-14,-0.156773457728005,0.000783867288696384,0.00783867288640026
0.116,3.09016994374948,2.92493205700758,3.07554528346444,-0.146246602850379
0.117,5.87785252292475,5.72032484622838,5.84925089869361,-0.286016242311419
0.118,8.0901699437495,7.95577238084847,8.05039108184526,-0.397788619042424
0.119,9.51056516295155,9.41245348600288,9.46350289552154,-0.470622674300144
0.12,10,9.9477780616461,9.95026110969177,-0.497388903082305
0.121,9.51056516295153,9.50934481191114,9.46301843889197,-0.475467240595557
0.122,8.09016994374945,8.14007063522299,8.04946959057334,-0.407003531761149
0.123,5.87785252292474,5.97398963058587,5.84798257477181,-0.298699481529294
0.124,3.09016994374947,3.22313289682715,3.07405427926534,-0.161156644841357
0.125,-1.96067120872279e-14,0.156773458932926,-0.000783867294684235,-0.00783867294664628
0.126,-3.09016994374951,-2.92493205799441,-3.07554528345954,0.146246602899721
0.127,-5.87785252292478,-5.72032484542022,-5.84925089869768,0.286016242271011
0.128,-8.09016994374947,-7.95577238151037,-8.05039108184192,0.397788619075518
0.129,-9.51056516295154,-9.41245348546076,-9.46350289552424,0.470622674273038
0.13,-10,-9.9477780620901,-9.95026110968955,0.497388903104505
0.131,-9.51056516295152,-9.50934481154749,-9.46301843889378,0.475467240577375
0.132,-8.09016994374943,-8.14007063552079,-8.04946959057183,0.407003531776039
0.133,-5.87785252292472,-5.97398963034193,-5.84798257477301,0.298699481517097
0.134,-3.09016994374944,-3.22313289702688,-3.0740542792643,0.161156644851344
0.135,5.39092425214105e-14,-0.156773458769282,0.000783867293900319,0.0078386729384641
0.136,3.09016994374954,2.92493205786045,3.07554528346024,-0.146246602893022
0.137,5.87785252292475,5.72032484552994,5.8492508986971,-0.286016242276497
0.138,8.0901699437495,7.9557723814205,8.05039108184239,-0.397788619071025
0.139,9.51056516295155,9.41245348553439,9.46350289552388,-0.470622674276719
0.14,10,9.9477780620298,9.95026110968985,-0.49738890310149
0.141,9.51056516295151,9.50934481159687,9.46301843889352,-0.475467240579843
0.142,8.09016994374945,8.14007063548036,8.04946959057205,-0.407003531774018
0.143,5.87785252292469,5.97398963037504,5.84798257477281,-0.298699481518752
0.144,3.09016994374941,3.22313289699972,3.07405427926441,-0.161156644849986
0.145,-1.71574993795831e-14,0.156773458791536,-0.000783867293974836,-0.00783867293957678
0.146,-3.09016994374944,-2.92493205787855,-3.07554528346005,0.146246602893927
0.147,-5.87785252292472,-5.72032484551499,-5.84925089869714,0.28601624227575
0.148,-8.09016994374947,-7.95577238143269,-8.05039108184231,0.397788619071634
0.149,-9.51056516295154,-9.41245348552437,-9.46350289552392,0.470622674276219
0.15,-10,-9.94777806203799,-9.95026110968981,0.4973889031019
0.151,-9.51056516295154,-9.50934481159019,-9.46301843889359,0.475467240579509
0.152,-8.09016994374947,-8.14007063548588,-8.04946959057204,0.407003531774294
0.153,-5.87785252292472,-5.97398963037056,-5.84798257477286,0.298699481518528
0.154,-3.09016994374944,-3.22313289700344,-3.07405427926443,0.161156644850172
0.155,5.14599213935485e-14,-0.156773458788487,0.000783867293993893,0.00783867293942433
0.156,3.09016994374947,2.92493205787611,3.07554528346009,-0.146246602893806
0.157,5.87785252292474,5.72032484551704,5.84925089869716,-0.286016242275852
0.158,8.09016994374949,7.95577238143105,8.05039108184234,-0.397788619071553
