# seconds.nanoseconds(sequence)	sine
1550489591.532678200(244)	0.951057
1550489591.533678200(245)	1.000000
1550489591.534678200(246)	0.951057
1550489591.535678200(247)	0.809017
1550489591.536678200(248)	0.587785
1550489591.537678200(249)	0.309017
1550489591.538678200(250)	-0.000000
1550489591.539678200(251)	-0.309017
1550489591.540678200(252)	-0.587785
1550489591.541678200(253)	-0.809017
1550489591.542678200(254)	-0.951057
1550489591.543678200(255)	-1.000000
1550489591.544678200(256)	-0.951057
1550489591.545678200(257)	-0.809017
1550489591.546678200(258)	-0.587785
1550489591.547678200(259)	-0.309017
1550489591.548678200(260)	0.000000
1550489591.549678200(261)	0.309017
1550489591.550678200(262)	0.587785
1550489591.551678200(263)	0.809017
1550489591.552678200(264)	0.951057
1550489591.553678200(265)	1.000000
1550489591.554678200(266)	0.951057
1550489591.555678200(267)	0.809017
1550489591.556678200(268)	0.587785
1550489591.557678200(269)	0.309017
1550489591.558678200(270)	0.000000
1550489591.559678200(271)	-0.309017
1550489591.560678200(272)	-0.587785
1550489591.561678200(273)	-0.809017
1550489591.562678200(274)	-0.951057
1550489591.563678200(275)	-1.000000
1550489591.564678200(276)	-0.951057
1550489591.565678200(277)	-0.809017
1550489591.566678200(278)	-0.587785
1550489591.567678200(279)	-0.309017
1550489591.568678200(280)	0.000000
1550489591.569678200(281)	0.309017
1550489591.570678200(282)	0.587785
1550489591.571678200(283)	0.809017
1550489591.572678200(284)	0.951057
1550489591.573678200(285)	1.000000
1550489591.574678200(286)	0.951057
1550489591.575678200(287)	0.809017
1550489591.576678200(288)	0.587785
1550489591.577678200(289)	0.309017
1550489591.578678200(290)	-0.000000
1550489591.579678200(291)	-0.309017
1550489591.580678200(292)	-0.587785
1550489591.581678200(293)	-0.809017
1550489591.582678200(294)	-0.951057
1550489591.583678200(295)	-1.000000
1550489591.584678200(296)	-0.951057
1550489591.585678200(297)	-0.809017
1550489591.586678200(298)	-0.587785
1550489591.587678200(299)	-0.309017
1550489591.588678200(300)	0.000000
1550489591.589678200(301)	0.309017
1550489591.590678200(302)	0.587785
1550489591.591678200(303)	0.809017
1550489591.592678200(304)	0.951057
1550489591.593678200(305)	1.000000
1550489591.594678200(306)	0.951057
1550489591.595678200(307)	0.809017
1550489591.596678200(308)	0.587785
1550489591.597678200(309)	0.309017
1550489591.598678200(310)	0.000000
1550489591.599678200(311)	-0.309017
1550489591.600678200(312)	-0.587785
1550489591.601678200(313)	-0.809017
1550489591.602678200(314)	-0.951057
1550489591.603678200(315)	-1.000000
1550489591.604678200(316)	-0.951057
1550489591.605678200(317)	-0.809017
1550489591.606678200(318)	-0.587785
1550489591.607678200(319)	-0.309017
1550489591.608678200(320)	-0.000000
1550489591.609678200(321)	0.309017
1550489591.610678200(322)	0.587785
1550489591.611678200(323)	0.809017
1550489591.612678200(324)	0.951057
1550489591.613678200(325)	1.000000
1550489591.614678200(326)	0.951057
1550489591.615678200(327)	0.809017
1550489591.616678200(328)	0.587785
1550489591.617678200(329)	0.309017
1550489591.618678200(330)	0.000000
1550489591.619678200(331)	-0.309017
1550489591.620678200(332)	-0.587785
1550489591.621678200(333)	-0.809017
1550489591.622678200(334)	-0.951057
1550489591.623678200(335)	-1.000000
1550489591.624678200(336)	-0.951057
1550489591.625678200(337)	-0.809017
1550489591.626678200(338)	-0.587785
1550489591.627678200(339)	-0.309017
1550489591.628678200(340)	0.000000
1550489591.629678200(341)	0.309017
1550489591.630678200(342)	0.587785
1550489591.631678200(343)	0.809017
1550489591.632678200(344)	0.951057
1550489591.633678200(345)	1.000000
1550489591.634678200(346)	0.951057
1550489591.635678200(347)	0.809017
1550489591.636678200(348)	0.587785
1550489591.637678200(349)	0.309017
1550489591.638678200(350)	0.000000
1550489591.639678200(351)	-0.309017
1550489591.640678200(352)	-0.587785
1550489591.641678200(353)	-0.809017
1550489591.642678200(354)	-0.951057
1550489591.643678200(355)	-1.000000
1550489591.644678200(356)	-0.951057
1550489591.645678200(357)	-0.809017
1550489591.646678200(358)	-0.587785
1550489591.647678200(359)	-0.309017
1550489591.648678200(360)	0.000000
1550489591.649678200(361)	0.309017
1550489591.650678200(362)	0.587785
1550489591.651678200(363)	0.809017
1550489591.652678200(364)	0.951057
1550489591.653678200(365)	1.000000
1550489591.654678200(366)	0.951057
1550489591.655678200(367)	0.809017
1550489591.656678200(368)	0.587785
1550489591.657678200(369)	0.309017
1550489591.658678200(370)	0.000000
1550489591.659678200(371)	-0.309017
1550489591.660678200(372)	-0.587785
1550489591.661678200(373)	-0.809017
1550489591.662678200(374)	-0.951057
1550489591.663678200(375)	-1.000000
1550489591.664678200(376)	-0.951057
1550489591.665678200(377)	-0.809017
1550489591.666678200(378)	-0.587785
1550489591.667678200(379)	-0.309017
1550489591.668678200(380)	-0.000000
1550489591.669678200(381)	0.309017
1550489591.670678200(382)	0.587785
1550489591.671678200(383)	0.809017
1550489591.672678200(384)	0.951057
1550489591.673678200(385)	1.000000
1550489591.674678200(386)	0.951057
1550489591.675678200(387)	0.809017
1550489591.676678200(388)	0.587785
1550489591.677678200(389)	0.309017
1550489591.678678200(390)	0.000000
1550489591.679678200(391)	-0.309017
1550489591.680678200(392)	-0.587785
1550489591.681678200(393)	-0.809017
1550489591.682678200(394)	-0.951057
1550489591.683678200(395)	-1.000000
1550489591.684678200(396)	-0.951057
1550489591.685678200(397)	-0.809017
1550489591.686678200(398)	-0.587785
1550489591.687678200(399)	-0.309017
1550489591.688678200(400)	-0.000000
1550489591.689678200(401)	0.309017
1550489591.690678200(402)	0.587785
1550489591.691678200(403)	0.809017
1550489591.692678200(404)	0.951057
1550489591.693678200(405)	1.000000
1550489591.694678200(406)	0.951057
1550489591.695678200(407)	0.809017
1550489591.696678200(408)	0.587785
1550489591.697678200(409)	0.309017
1550489591.698678200(410)	0.000000
1550489591.699678200(411)	-0.309017
1550489591.700678200(412)	-0.587785
1550489591.701678200(413)	-0.809017
1550489591.702678200(414)	-0.951057
1550489591.703678200(415)	-1.000000
1550489591.704678200(416)	-0.951057
1550489591.705678200(417)	-0.809017
1550489591.706678200(418)	-0.587785
1550489591.707678200(419)	-0.309017
1550489591.708678200(420)	0.000000
1550489591.709678200(421)	0.309017
1550489591.710678200(422)	0.587785
1550489591.711678200(423)	0.809017
1550489591.712678200(424)	0.951057
1550489591.713678200(425)	1.000000
1550489591.714678200(426)	0.951057
1550489591.715678200(427)	0.809017
1550489591.716678200(428)	0.587785
1550489591.717678200(429)	0.309017
1550489591.718678200(430)	-0.000000
1550489591.719678200(431)	-0.309017
1550489591.720678200(432)	-0.587785
1550489591.721678200(433)	-0.809017
1550489591.722678200(434)	-0.951057
1550489591.723678200(435)	-1.000000
1550489591.724678200(436)	-0.951057
1550489591.725678200(437)	-0.809017
1550489591.726678200(438)	-0.587785
1550489591.727678200(439)	-0.309017
1550489591.728678200(440)	-0.000000
1550489591.729678200(441)	0.309017
1550489591.730678200(442)	0.587785
1550489591.731678200(443)	0.809017
1550489591.732678200(444)	0.951057
1550489591.733678200(445)	1.000000
1550489591.734678200(446)	0.951057
1550489591.735678200(447)	0.809017
1550489591.736678200(448)	0.587785
1550489591.737678200(449)	0.309017
1550489591.738678200(450)	0.000000
1550489591.739678200(451)	-0.309017
1550489591.740678200(452)	-0.587785
1550489591.741678200(453)	-0.809017
1550489591.742678200(454)	-0.951057
1550489591.743678200(455)	-1.000000
1550489591.744678200(456)	-0.951057
1550489591.745678200(457)	-0.809017
1550489591.746678200(458)	-0.587785
1550489591.747678200(459)	-0.309017
1550489591.748678200(460)	-0.000000
1550489591.749678200(461)	0.309017
1550489591.750678200(462)	0.587785
1550489591.751678200(463)	0.809017
1550489591.752678200(464)	0.951057
1550489591.753678200(465)	1.000000
1550489591.754678200(466)	0.951057
1550489591.755678200(467)	0.809017
1550489591.756678200(468)	0.587785
1550489591.757678200(469)	0.309017
1550489591.758678200(470)	-0.000000
1550489591.759678200(471)	-0.309017
1550489591.760678200(472)	-0.587785
1550489591.761678200(473)	-0.809017
1550489591.762678200(474)	-0.951057
1550489591.763678200(475)	-1.000000
1550489591.764678200(476)	-0.951057
1550489591.765678200(477)	-0.809017
1550489591.766678200(478)	-0.587785
1550489591.767678200(479)	-0.309017
1550489591.768678200(480)	0.000000
1550489591.769678200(481)	0.309017
1550489591.770678200(482)	0.587785
1550489591.771678200(483)	0.809017
1550489591.772678200(484)	0.951057
1550489591.773678200(485)	1.000000
1550489591.774678200(486)	0.951057
1550489591.775678200(487)	0.809017
1550489591.776678200(488)	0.587785
1550489591.777678200(489)	0.309017
1550489591.778678200(490)	-0.000000
1550489591.779678200(491)	-0.309017
1550489591.780678200(492)	-0.587785
1550489591.781678200(493)	-0.809017
1550489591.782678200(494)	-0.951057
1550489591.783678200(495)	-1.000000
1550489591.784678200(496)	-0.951057
1550489591.785678200(497)	-0.809017
1550489591.786678200(498)	-0.587785
1550489591.787678200(499)	-0.309017
1550489591.788678200(500)	0.000000
1550489591.789678200(501)	0.309017
1550489591.790678200(502)	0.587785
1550489591.791678200(503)	0.809017
1550489591.792678200(504)	0.951057
1550489591.793678200(505)	1.000000
1550489591.794678200(506)	0.951057
1550489591.795678200(507)	0.809017
1550489591.796678200(508)	0.587785
1550489591.797678200(509)	0.309017
1550489591.798678200(510)	0.000000
1550489591.799678200(511)	-0.309017
1550489591.800678200(512)	-0.587785
1550489591.801678200(513)	-0.809017
1550489591.802678200(514)	-0.951057
1550489591.803678200(515)	-1.000000
1550489591.804678200(516)	-0.951057
1550489591.805678200(517)	-0.809017
1550489591.806678200(518)	-0.587785
1550489591.807678200(519)	-0.309017
1550489591.808678200(520)	0.000000
1550489591.809678200(521)	0.309017
1550489591.810678200(522)	0.587785
1550489591.811678200(523)	0.809017
1550489591.812678200(524)	0.951057
1550489591.813678200(525)	1.000000
1550489591.814678200(526)	0.951057
1550489591.815678200(527)	0.809017
1550489591.816678200(528)	0.587785
1550489591.817678200(529)	0.309017
1550489591.818678200(530)	0.000000
1550489591.819678200(531)	-0.309017
1550489591.820678200(532)	-0.587785
1550489591.821678200(533)	-0.809017
1550489591.822678200(534)	-0.951057
1550489591.823678200(535)	-1.000000
1550489591.824678200(536)	-0.951057
1550489591.825678200(537)	-0.809017
1550489591.826678200(538)	-0.587785
1550489591.827678200(539)	-0.309017
1550489591.828678200(540)	-0.000000
1550489591.829678200(541)	0.309017
1550489591.830678200(542)	0.587785
1550489591.831678200(543)	0.809017
1550489591.832678200(544)	0.951057
1550489591.833678200(545)	1.000000
1550489591.834678200(546)	0.951057
1550489591.835678200(547)	0.809017
1550489591.836678200(548)	0.587785
1550489591.837678200(549)	0.309017
1550489591.838678200(550)	-0.000000
1550489591.839678200(551)	-0.309017
1550489591.840678200(552)	-0.587785
1550489591.841678200(553)	-0.809017
1550489591.842678200(554)	-0.951057
1550489591.843678200(555)	-1.000000
1550489591.844678200(556)	-0.951057
1550489591.845678200(557)	-0.809017
1550489591.846678200(558)	-0.587785
1550489591.847678200(559)	-0.309017
1550489591.848678200(560)	0.000000
1550489591.849678200(561)	0.309017
1550489591.850678200(562)	0.587785
1550489591.851678200(563)	0.809017
1550489591.852678200(564)	0.951057
1550489591.853678200(565)	1.000000
1550489591.854678200(566)	0.951057
1550489591.855678200(567)	0.809017
1550489591.856678200(568)	0.587785
1550489591.857678200(569)	0.309017
1550489591.858678200(570)	-0.000000
1550489591.859678200(571)	-0.309017
1550489591.860678200(572)	-0.587785
1550489591.861678200(573)	-0.809017
1550489591.862678200(574)	-0.951057
1550489591.863678200(575)	-1.000000
1550489591.864678200(576)	-0.951057
1550489591.865678200(577)	-0.809017
1550489591.866678200(578)	-0.587785
1550489591.867678200(579)	-0.309017
1550489591.868678200(580)	0.000000
1550489591.869678200(581)	0.309017
1550489591.870678200(582)	0.587785
1550489591.871678200(583)	0.809017
1550489591.872678200(584)	0.951057
1550489591.873678200(585)	1.000000
1550489591.874678200(586)	0.951057
1550489591.875678200(587)	0.809017
1550489591.876678200(588)	0.587785
1550489591.877678200(589)	0.309017
1550489591.878678200(590)	-0.000000
1550489591.879678200(591)	-0.309017
1550489591.880678200(592)	-0.587785
1550489591.881678200(593)	-0.809017
1550489591.882678200(594)	-0.951057
1550489591.883678200(595)	-1.000000
1550489591.884678200(596)	-0.951057
1550489591.885678200(597)	-0.809017
1550489591.886678200(598)	-0.587785
1550489591.887678200(599)	-0.309017
1550489591.888678200(600)	0.000000
1550489591.889678200(601)	0.309017
1550489591.890678200(602)	0.587785
1550489591.891678200(603)	0.809017
1550489591.892678200(604)	0.951057
1550489591.893678200(605)	1.000000
1550489591.894678200(606)	0.951057
