0.148,-8.3794,-5.1475,0.35853
0.149,-9.628,-5.9859,0.12617
0.15,-9.934,-6.2383,-0.11847
0.151,-9.2674,-5.88,-0.35144
0.152,-7.6937,-4.946,-0.54993
0.153,-5.3667,-3.5278,-0.69452
0.154,-2.5143,-1.7642,-0.77105
0.155,0.58433,0.1722,-0.77203
0.156,3.6258,2.0918,-0.69736
0.157,6.3125,3.8067,-0.55435
0.158,8.3814,5.1491,-0.35701
0.159,9.6299,5.9875,-0.12464
0.16,9.9359,6.2399,0.12
0.161,9.2694,5.8816,0.35297
0.162,7.6956,4.9476,0.55147
0.163,5.3686,3.5294,0.69606
0.164,2.5162,1.7658,0.77259
0.165,-0.58247,-0.17065,0.77356
0.166,-3.624,-2.0903,0.6989
0.167,-6.3107,-3.8052,0.55589
0.168,-8.3796,-5.1476,0.35855
0.169,-9.6281,-5.986,0.12618
0.17,-9.9341,-6.2384,-0.11846
0.171,-9.2676,-5.8801,-0.35144
0.172,-7.6938,-4.9461,-0.54993
0.173,-5.3668,-3.5279,-0.69453
0.174,-2.5144,-1.7643,-0.77106
0.175,0.58419,0.17211,-0.77204
0.176,3.6257,2.0917,-0.69738
0.177,6.3124,3.8067,-0.55437
0.178,8.3813,5.149,-0.35703
0.179,9.6298,5.9875,-0.12467
0.18,9.9358,6.2399,0.11997
0.181,9.2692,5.8815,0.35294
0.182,7.6955,4.9475,0.55144
0.183,5.3685,3.5293,0.69602
0.184,2.516,1.7657,0.77255
0.185,-0.58259,-0.17074,0.77353
0.186,-3.6241,-2.0904,0.69886
0.187,-6.3108,-3.8053,0.55585
0.188,-8.3797,-5.1477,0.3585
0.189,-9.6282,-5.9861,0.12613
0.19,-9.9342,-6.2385,-0.11851
0.191,-9.2677,-5.8802,-0.35148
0.192,-7.6939,-4.9462,-0.54998
0.193,-5.367,-3.528,-0.69458
0.194,-2.5145,-1.7644,-0.77111
0.195,0.58408,0.17203,-0.77209
0.196,3.6256,2.0916,-0.69743
0.197,6.3123,3.8066,-0.55443
0.198,8.3812,5.149,-0.35709
0.199,9.6297,5.9874,-0.12472
0.2,9.9357,6.2398,0.11992
0.201,9.2691,5.8814,0.35288
0.202,7.6954,4.9474,0.55138
